Lon, Lat, Population
174.883102, -37.000500, 63.000000
172.653381, -43.384560, 51.000000
174.789658, -36.898651, 9.000000
170.544266, -45.845009, 30.000000
170.478287, -45.894287, 21.000000
175.634216, -40.359703, 18.000000
175.261551, -37.773762, 18.000000
174.805450, -36.857048, 0.000000
172.953980, -41.159714, 33.000000
175.143082, -40.758915, 24.000000
175.100662, -41.109486, 36.000000
176.170944, -37.632046, 0.000000
174.841522, -41.153156, 0.000000
174.845261, -36.851326, 48.000000
174.274704, -39.327553, 3.000000
175.028519, -36.786427, 24.000000
172.700638, -43.228535, 15.000000
174.754181, -36.771015, 36.000000
168.409653, -46.459400, 12.000000
171.271957, -44.227814, 42.000000
174.819443, -36.880699, 39.000000
175.857895, -38.242729, 18.000000
176.137848, -37.695580, 39.000000
174.515656, -36.683308, 0.000000
174.896957, -37.025486, 36.000000
170.886505, -44.281734, 18.000000
172.635712, -43.573345, 36.000000
174.882416, -37.019299, 24.000000
168.373810, -46.426140, 18.000000
176.287964, -38.080185, 0.000000
173.725784, -35.912926, 3.000000
175.645782, -40.959534, 30.000000
174.775711, -41.324306, 48.000000
172.643906, -43.546635, 0.000000
175.064026, -39.920109, 21.000000
174.770172, -36.859703, 0.000000
172.623230, -43.575325, 9.000000
175.398498, -40.540001, 12.000000
176.210495, -37.662640, 12.000000
174.811417, -36.870510, 33.000000
174.914627, -36.941566, 33.000000
174.745331, -36.703915, 42.000000
168.376617, -46.393814, 18.000000
174.784698, -41.310337, 27.000000
174.753677, -36.327034, 24.000000
172.562378, -43.558254, 120.000000
172.640976, -43.569633, 30.000000
176.195236, -38.360481, 30.000000
174.014023, -41.820709, 3.000000
172.690689, -43.494667, 21.000000
175.942673, -39.904972, 9.000000
176.097702, -38.713806, 24.000000
174.983566, -41.166172, 27.000000
175.326797, -38.006844, 27.000000
175.511169, -40.108227, 24.000000
173.963425, -41.536488, 21.000000
175.263275, -37.743610, 54.000000
174.105377, -39.088947, 30.000000
175.534470, -37.138172, 0.000000
176.460358, -39.854481, 6.000000
174.791000, -41.298298, 0.000000
176.871017, -39.638275, 0.000000
172.585434, -43.493191, 33.000000
174.734695, -36.842773, 27.000000
175.035553, -41.142529, 0.000000
175.570389, -40.212208, 12.000000
174.103012, -35.922813, 0.000000
176.970688, -37.979008, 3.000000
174.713562, -36.759579, 75.000000
174.854172, -36.864853, 15.000000
170.095322, -44.253365, 3.000000
175.019272, -41.142391, 18.000000
172.562531, -43.490917, 3.000000
174.894501, -37.212543, 27.000000
176.822372, -39.645756, 21.000000
175.599380, -40.349751, 27.000000
169.982681, -44.058197, 3.000000
176.841324, -39.649456, 18.000000
174.541687, -36.317360, 18.000000
174.896835, -36.989037, 9.000000
174.780777, -36.795994, 51.000000
171.296036, -44.141487, 9.000000
174.508011, -35.812748, 30.000000
174.733139, -40.993652, 0.000000
175.287109, -37.763863, 18.000000
174.106338, -39.052650, 0.000000
175.865845, -37.016350, 3.000000
174.782761, -36.803169, 42.000000
174.645416, -36.859821, 63.000000
175.290527, -37.750980, 45.000000
175.645233, -40.957207, 51.000000
176.286758, -38.138626, 27.000000
176.558868, -39.992092, 9.000000
177.989578, -38.661842, 45.000000
173.959183, -39.486599, 9.000000
174.985992, -37.067081, 3.000000
172.635574, -43.527142, 0.000000
174.806183, -36.907513, 51.000000
174.445755, -35.883945, 36.000000
174.883179, -41.227451, 15.000000
175.677109, -40.931389, 66.000000
168.346481, -46.408054, 0.000000
173.254105, -35.039532, 18.000000
172.492065, -43.666103, 57.000000
174.797913, -36.900993, 12.000000
174.645996, -36.909000, 18.000000
174.283844, -39.590736, 0.000000
175.234055, -37.979172, 6.000000
172.674393, -43.519875, 0.000000
170.919357, -45.077374, 42.000000
175.227890, -40.461319, 18.000000
